EkranKartı,Marka,SSD,İşlemci
Nvidia GeForce RTX3050Ti,ASUS Tuf Gaming A15 Fa507re-hn062 Ryzen 7 6800h 16gb Ram 512gb Ssd 4gb Rtx3050ti 15.6 Inç Fhd 144hz,512 GB,AMD Ryzen 7
AMD Radeon R5,Huawei Matebook 14 AMD Ryzen 5 5500u 16 gb 512 gb Windows 11 Home Dizüstü Bilgisayar,512 GB,AMD
Intel HD Graphics,"Huawei, ,MateBook D15 Intel Core i3 10110U 8GB 256 GB SSD Windows 10 Home 15.6"" Taşınabilir Bilgisayar",256 GB,Intel Core i3
,"LENOVO, ,V15 82c700ldtx Athlon Gold 3150u 8gb Ram 256gb Ssd 15.6"" Hd Freedos Notebook",256 GB,AMD Athlon
,ASUS X415EA-EK977W / i5-11135G7 / 8GB / 256GB / Win11 / FHD / NumberPAD Laptop,256 GB,Intel Core i5
,"LENOVO, ,Ideapad 81vu006stx Intel Celeron N4020 4gb 128gb Ssd Freedos 14"" Hd Taşınabilir Bilgisayar",128 GB,Intel Celeron
Nvidia GeForce GTX1650,Casper Excalibur Intel I7-10750h 16gb Ram 500gb Nvme Ssd 4gb Gtx1650 Freedos,500 GB,Intel Core i7
AMD Radeon R5,"Huawei, ,Matebook D15 AMD Ryzen 5 5500U 8GB 512GB SSD Windows 11 Home 15.6"" FHD Dizüstü Bilgisayar",512 GB,AMD Ryzen 5
Nvidia GeForce RTX3060,Monster Tulpar T7 V20.4 Intel Core I7 11800H 16GB 500GB SSD RTX3060 Freedos 17.3'' FHD,500 GB,Intel Core i7
Intel HD 620,"Huawei, ,MateBook D15 Intel Core i5 10210U 8 GB RAM 256 GB SSD 15.6"" W10 Dizüstü Bilgisayar",256 GB,Intel Core i5
Nvidia GeForce GTX1650,ASUS Tuf Gaming F15 Fx506lhb-hn323,512 GB,Intel Core i5
Dahili Ekran Kartı,"Apple, ,Macbook Pro 13"" M1 8gb 256gb Ssd Uzay Grisi",256 GB,Apple M1
Dahili Ekran Kartı,"ACER, ,Aspire 3 A315-34 Intel Celeron N4020 4gb 256 Gb Ssd 15.6""fhd Free Dos",256 GB,Intel Celeron
Intel Iris Pro Graphics,"Huawei, ,Matebook D15 Intel Core I7 1165g7 16gb 512gb Ssd Windows 11 Home 15.6"" Taşınabilir Bilgisayar",512 GB,Intel Core i7
Nvidia GeForce RTX3050Ti,Casper Excalibur G770.1140-bvl0x-b Intel Core I5-11400h 16gb Ram 500gb Nvme Ssd 4gb Rtx3050tı Freedos,500 GB,Intel Core i5
Nvidia GeForce RTX3050,"ASUS, ,TUF GAMING F15 FX506HCB-HN200 İNTEL I5-11400H 16GB 512GB SSD 4GB RTX3050 15.6"" FHD 144HZ FDOS",512 GB,Intel Core i5
Dahili Ekran Kartı,Apple Macbook Air 13'' M1 8gb 256gb Ssd Gümüş,256 GB,Apple M1
Nvidia GeForce GTX 1650,Monster Abra A5 V16.7.3 Intel Core I5 11400h 16gb 500gb Ssd Gtx1650 Freedos 15.6'' Fhd,500 GB,Intel Core i5
Intel UHD Graphics 600,"LENOVO, ,V14 Celeron N4120 14"" 4 GB 256 GB SSD HD FreeDos Taşınabilir Bilgisayar",256 GB,Intel Celeron
Nvidia GeForce GTX1650,ACER Aspire 7 A715-42 Amd Ryzen 5 5500u 8gb 256gb Ssd Gtx1650 15.6 Fhd Dos Bilgisayar Nh.qbfey.001,256 GB,AMD Ryzen 5
Dahili Ekran Kartı,Apple Macbook Air 13'' M1 8gb 256gb Ssd Altın,256 GB,Apple M1
,Apple Macbook Air 13'' M1 8gb 256gb Ssd Uzay Grisi,256 GB,Apple M1
Nvidia GeForce RTX3060,Casper Excalibur G900.1160-bv60x-b Intel Core I7-11600h 16gb Ram 500gb Nvme Ssd 6gb Rtx3060 Freedos,500 GB,Intel Core i7
Intel Iris Graphics,"Huawei, ,Matebook D15 i5-1135G7 8 GB 256 GB SSD Iris Xe Graphics 15.6"" Windows 11",256 GB,Intel Core i5
